,제목
343,[최저임금쇼크]⑦ 노동청 단속에 편의점주 '공포'...무더기 형사고발 당할 우려
344,"최흥식 금감원장 “최저임금 인상으로 힘든 자영업자, 대출 차질 없이 지원”"
345,"정부 ""최저임금 인상 후 외식물가 상승세 소폭 확대…물가 감시 강화"""
346,"[최저임금쇼크]⑥ 코카콜라·커피빈
 등 오늘부터 4~8% 가격 인상...속타는 국내 기업"
347,"[특징주] GS리테일, 최저임금인상·공정위 규제완화 우려에 6% 하락"
348,"""GS리테일, 최저임금상승·공정위 규제강화 등 주력사업에 악재가 산적"" - 현대차"
349,꽁꽁 언 中企… 결국 최저임금 때문이었다
350,[기자수첩] 최저임금 대책 탁상공론 남발하는 정부
351,"지난해 근로자 평균 임금, 2.9% 올랐다…전년비 0.9%P 하락"
352,中企·내수기업 경기판단 위축…최저임금 인상 여파
353,최저임금 올리니… 中企 경기전망지수 3개월 연속 나빠져
354,"[최저임금쇼크]⑤ ‘맥주 9천원, 소주 6천원’...술값 올리고 알바 줄이는 음식점들"
355,민주노총 참여 ‘노사정 대표자 회의’ 31일 개최…최저임금 논의되나
356,최저임금 인상 나비효과?…수익형 부동산 투자 빨간불
357,"""현대위아, 통상임금 패소 등 실적 부진...목표 주가 7.3만→6.8만"" - 유진"
358,미국 최저임금 1달러 올렸더니… 작은 가게들이 무너졌다
359,정규·비정규직 임금 격차 186만원?… 실제 차이는 16만원
360,"경영계 ""최저임금 산입 범위 넓혀야"", 노동계 ""임금 인상 효과 반감시킨다"""
361,정규·비정규직 임금 격차 186만원?… 실제 차이는 16만원
362,"대한항공, 조종사 노조와 2015·2016년 임금협상 마무리"
363,"현대차, 과장 차장 부장 임금 동결 풀렸다..임단협 수준으로 인상"
364,"알바생 22.2% ""최저임금 적용 못 받고 있어"""
365,최저임금 쇼크 줄이려 … 독일은 2년에 한번 올린다
366,최저임금 부담 덜어줄 '플랜B'… 근로장려세제 확대해야
367,"통상임금 패소 기아車, 작년 영업이익 73% 감소"
368,'3% 성장' 위협하는  3大 악재…보호무역주의·부동산 위축·최저임금 혼란
369,[컨콜] 기아차 “통상임금 소송 패소로 수익성 악화”
370,"기아차, 통상임금 패소·中사드보복 수렁에 영업이익 1조원 아래로(종합)"
371,'별 차이 없다고?' 올해 최저임금 상대적 인상률 알고보면 2007년의 2.3배
372,최저임금 인상 유탄맞은 카드업계...“수익성 악화시 부가서비스 축소 검토”
373,"현대車 ""최저임금 충격 막아라"" 2·3차 협력업체에 1500억 지원"
374,"현대차그룹, 2·3차 협력사 최저임금 인상에 따른 상생기금 1500억 지원"
375,'부작용 우려' 무리한 최저임금 보완책 잇따라...자영업자 반발 무마 '올인' 정부
376,숨가쁜 최저임금… 숨고르는 김동연
377,"""최저임금 보완책, 내달 초 나올 것"""
378,"한승희 국세청장 ""최저임금 인상 부담 경감위해 중소상공인 세정지원 검토"""
379,"삼성전자 ""최저임금 오르니… 협력사 납품 단가 올려주겠다"""
380,[주간조선] 최저임금을 기업유치 카드로… 상하이 2300위안 · 칭하이1500위안
381,[빅데이터로 본 트렌드] '욜로'에서 '짠테크'로 트렌드 변화… '최저임금' '일자리'도 화두
382,"文대통령, 한국노총 지도부와 오찬...“최저임금, 긍정효과 내야 내년에
 또 올릴 수 있어"""
383,연일 최저임금 홍보에 진땀 흘리는 靑 참모·장관들…소상공인 마음잡기 총력전
384,"휴일 임금은 평일의 2배?...재계 ""임금부담 7조원 증가"" 우려"
385,"김상조 ""최저임금 인상 비용, 프랜차이즈 본부·유통업체 분담해야"""
386,"기아차, 2017년 임금협상 타결…車 5개사 임금협상 '매듭'"
387,"한은 ""최저임금 인상, 소비에 긍정적…물가에는 영향 없을 것"""
388,[팀장칼럼] 영세 사업자 살릴 최저임금 후속대책 시급
389,"박병원 ""일자리 창출에 국가 총동원령을"", 우원식 ""최저임금 올려 내수부터 살려야"""
390,"박병원 경총 회장 ""최저임금 인상보다 기업하기 좋은 환경이 먼저"""
391,김동연 ”소상공인 대상 최저임금 인상 보완책 이달 중 발표”
392,최저임금 인상되면 하도급업체에 지급하는 납품대금도 오른다
393,"""최저임금 위반 업주, 명단 공개하겠다"""
394,"기아차, 2017년 임금협상 잠정합의…18일 조합원 찬반투표"
395,"노동부, 최저임금 위반 사업주 명단공개 신용제재...""경제적 사형선고"""
396,노동부 “최저임금 위반 사업주 명단공개·신용제재 가하겠다”
397,"노동부, 고액·상습 임금체불 사업주 198명 명단 공개"
398,허점 많은 근로시간 단축…제2의 최저임금 혼란 우려
399,"""영세기업, 최저임금 인상에 영업이익 40% 증발"""
400,"""영세기업, 최저임금 인상에 영업이익 40% 증발"""
401,"최저임금 혼란에 부랴 부랴 현장 찾는 장관들…김현미 장관, 경비원들 만나"
402,"최저임금 혼란에 부랴 부랴 현장 찾는 장관들…김현미 장관, 경비원들 만나"
403,지급액 눈덩이 고용보험기금...최저임금 급인상 부담에 미가입자까지 혜택 준다니
404,김동연·김현미·김상조 등 금요일 밤 '번개 맥주 미팅'…부동산 시장과 최저임금 논의
405,"홍종학 ""최저임금 1만원은 대선주자 모두 공약"", 中企 대표들 ""현장 목소리 더 들어보셨으면…"""
406,[기자수첩] 장관들의 '외눈박이' 최저임금 상황 인식
407,"정부, 최저임금發 외식가격 인상 억제 전방위 압박...""고육지책"""
408,"김동연 ""지난달 서비스업 고용 부진, 최저임금 인상 때문 아니다"""
409,홈플러스 임단협 타결...최저임금 상회하는 최대 14.7% 인상안 합의
410,"정부 ""김밥·치킨·햄버거 외식업체, 최저임금 핑계 편법 가격인상 조사"""
411,"중소기업 ""최저임금 올려주고 노동시간 줄이면… 죽으란 말인가"""
412,"중소기업 ""최저임금 올려주고 노동시간 줄이면… 죽으란 말인가"""
413,"대한항공, 조종사 노조와 2015·2016년 임금협상 잠정 합의"
414,"유영민 장관 ""통신 공사업체 현장 근로자 최저임금 인상 동참해달라"""
415,"'20대·서비스 일용직' 덮친 최저임금 인상 한파…""취업자수 10만명대로 위축될 수도"""
416,'최저임금 인상 여파' 일용직 확 줄어...취업자 증가 석달 연속 20만명대 '부진'(종합)
417,KFC의 최저임금 역발상
418,"한국GM, 2017년 임금교섭 타결…발전방안은 후속 임단협에서 논의(종합)"
419,[최저임금쇼크]④ '일 안해도 받는 주휴수당' 실제 최저임금은 9000원 넘어…지역별 양극화도 심화
420,"근로자들까지 ""최저임금 인상, 안하느니만 못해"" 청와대에 재고 청원"
421,"한국GM 임금협상 합의안, 조합원 투표 가결(1보)"
422,김동열 中企연구원장 “최저임금 극복 위해 소상공인도 혁신해야”
423,"""CJ프레시웨이, 최저임금 타격 예상"" - 하이"
424,[최저임금쇼크]③ 퇴직금 안 주려 '11.5개월' 계약...상여금·수당도 없애
425,[김기천 칼럼] 최저임금과 청년 일자리 정책
426,최저임금 후유증 거세자… 건물주·대기업에 책임 떠넘기기
427,최저임금 보전 대상 근로자 늘린다
428,최저임금 올라가니 편의점株 내려가네
429,최저임금 후유증 거세자… 건물주·대기업에 책임 떠넘기기
430,최저임금 보전 대상 근로자 늘린다
431,"정부, 대형 유통사에 납품사 최저임금 인상분 분담 '논란'…""물건 가격 인상 불가피""(종합)"
432,납품업체 최저임금 인상 부담 대형 유통업체가 일부 분담한다
433,[2018 전미경제학회] “美 캘리포니아주 최저임금 18.5% 올리자...식당 고용 12% 줄었다”
434,최저임금 뛰니 동네물가 뛴다
435,최저임금 뛰니 동네물가 뛴다
436,"[최저임금쇼크]① ""더는 못 버텨""...인건비 부담에 편의점 '엑소더스'"
437,"[최저임금쇼크]② ""현장 모른다"" 최저임금 지원책 불만…정부 일부 제도 보완"
438,"김동연 ""최저임금 인상으로 어렵다고 종업원 해고하면 안 된다"""
439,"""최저임금 인상 핑계로 가격 인상 땐 엄정 대응"""
440,"정부 ""최저임금 인상에 따른 외식비 인상 감시 강화"""
441,'스텝 꼬이나' 최저임금 현금 보조 대안 찾기…EITC 확대 실효성 의문
442,"E1, 23년 연속 무교섭 임금협상 타결"
443,"""자산 120억 넘는 기업도 최저임금 쇼크… 26%가 적자 전환"""
444,"알바생 25% ""최저임금 인상 발표후 불이익 """
445,대-중기 임금격차 축소 해법은 ‘연대임금’
446,최저임금 논란에 눈에 띄는 이마트24 ‘3무 정책’
447,"“부유세 도입하고, 동일노동 동일임금을”"
448,‘일자리 질’ 강조했는데 비정규직 비중 늘고 임금격차 커졌다
449,최저임금 올라 고용 줄 거라던 ‘청소·경비직’ 늘었다
450,월 200만원 이상 급여자 첫 60% 돌파…최저임금 인상 영향
451,주 52시간 전면적용 땐… 비정규직 초과노동자 임금 17% 줄어
452,‘시간주권’ 찾으려면…특례업종 축소·포괄임금 금지 급선무
453,88만명 억대 소득인데…800만명은 최저임금도 못 번다
454,김동연 “최저임금 지역별 차등화 검토중”
455,대한상의 “최저임금 산식 법률에 명문화해야” 개선 건의
456,"“북, 임금 무상으로라도 개성공단 재가동하자 제안”"
457,"더 나빠진 고용…김동연 “최저임금 등 속도조절, 당·청과 협의”"
458,"“자영업 위기, ‘최저임금 때리기’로 해결될 일 아니다”"
459,"김동연 “최저임금 인상 속도조절, 당청 협의할 것”"
460,최저임금 효과 측정할 통계 절실…예산 들여 체계 갖춰야
461,알바 노동자 5명 중 1명 “최저임금도 못 받고 일한 적 있다”
462,"홍종학 “최저임금 인상 추가비용, 정부가 최대한 보전하겠다”"
463,"중기중앙회, 내년 최저임금 이의제기 신청"
464,‘법정단체’ 소상공인연합회 “최저임금법 불복종” 논란
465,"경총, 내년 최저임금 ‘8350원’ 불복…재심의 요청"
466,박용만 “최저임금 인상은 소득 양극화 때문” 8350원 수용 뜻
467,올 최저임금 인상 효과 보니…월 150만원 못받는 청년 줄었다
468,갑질 근절 대책도 최저임금 탓이라는 보수의 궤변
469,"편의점주들, 최저임금 넘어 ‘본사 갑질’ 정조준"
470,"“하도급업체, 최저임금 인상분 대기업에 대금증액 요청 가능”"
471,홍종학 장관 “중기·영세상인 최저임금 대책 마련하겠다”
472,"김동연 “최저임금 인상, 하반기 경제운용에 부담 될 수 있어”"
473,고용 부진에…최저임금 ‘두자릿수 인상’ 유지하되 속도는 조절
474,"[현장에서] 이제, 포괄임금제에 안녕을 고하자"
475,"김동연 “일자리안정자금 지원규모, 내년 최저임금 인상률 보고 결정”"
476,최저임금 인상에 뿔난 편의점주들 “집단 휴업 불사”
477,위메프 ‘포괄임금제 폐지’ 한달…야근 줄고 급여 늘었다
478,경총 등 “업종별로 최저임금 인상률 구분 적용” 주장
479,“중소기업 최저임금 7% 이상 오르면 대기업에 하도급단가 인상요청 가능”
480,[단독] 네이버도 포괄임금제 폐지
481,“다양한 정책 보완 없이는 최저임금 정책에만 과부하”
482,데이터도 잣대도 제각각…섣부른 정답 강요하는 최저임금 논쟁
483,“최저임금 오르면 뭐해?” 공공입찰 더 외면받는 ‘납품가 현실화’
484,“최저임금 내년 큰폭 인상 땐 득보다 실” KDI 보고서 논란
485,"위메프, 포괄임금제 폐지했더니 야근 줄었다"
486,"KDI “내년에도 최저임금 15% 올리면, 최대 9만6천명 고용감소”"
487,“임금노동자만 본다?” 청와대의 반쪽짜리 최저임금 분석
488,포괄임금제와 ‘쌍둥이’ 재량근로제 확대 괜찮을까
489,[단독] “최저임금 인상 효과 90%” 근거는 노동연구원 세부 분석
490,문 대통령 “최저임금 인상 긍정효과 90%” 속도조절론 반박
491,"경제계, 최저임금법 개정안 환노위 통과 ‘제한적 환영’"
492,“최저임금 영향 분석 충분히” ‘속도조절론’ 힘싣는 부총리
493,경총 “최저임금 산입범위 국회에서 조속히 결론”
494,"김동연 “최저임금 인상, 목표 연도 신축적으로 생각해야”"
495,위메프 “포괄임금제 내달 폐지”…노동시간 단축 선제 대응
496,"동반성장위·이랜드·협력업체, 임금격차 해소 협약 체결"
497,김동연 “상반기 안에 최저임금 고용·임금 영향 분석할 것”
498,최저임금 5% 오르면 중기조합 통해 하도급단가 인상 가능
499,“자동차산업 ‘하후상박 연대임금’ 실현하자”
500,"한은 “임금상승률 하락세, 올해 반등”"
501,동반성장위 ‘대·중소기업 임금 격차 해소’에 나선다
502,공공조달시장에서 중소기업 임금 납품단가에 제때 반영
503,이달 건강보험료 연말정산…승진·임금인상 직장인 부담↑
504,500대 기업 열 중 네곳은 최저임금 받는 노동자 있다
505,현대차 노조위원장의 고백 “임금격차 줄이려면 노동운동 방향 바꿔야”
506,저임금 노린 베트남 진출 신중해야
507,"한국GM 노조 “임금 인상도, 성과급도 요구 안 한다”"
508,대기업 수준 한시적 임금보전…청년들 마음 모르는 ‘중소기업 유인책’
509,"SK이노베이션 노사, ‘물가연동’ 합의 따라 임금 1.9% 인상키로"
510,"정부, 중소기업 취업 청년에 ‘대기업 임금’ 맞춰준다"
511,"브루독, 성별 임금격차만큼 맥주 할인 판매"
512,“첫 직장이 10년 뒤 임금·고용에도 영향 끼친다”
513,껑충 뛴 신선식품·외식물가…최저임금 영향은 “제한적”
514,여성 임금차별도 ‘#미투’…월가에서 번지는 임금평등 운동
515,공공 청소·경비원 적정임금 지급 보장
516,독일 ‘최저임금’ 현장을 돌아보며 얻은 교훈
517,세대당 2200원 더 내 최저임금 인상 해결한 ‘상생 아파트’
518,내년 최저임금 인상률은?…기준임금·가구생계비 반영 쟁점
519,최저임금 인건비 지원 신청 24%뿐…문제는 ‘비공식 고용’
520,국내 최저임금 갈등 핵심엔 ‘영세 음식·숙박업’
521,최저임금 소모적 갈등 줄이려 ‘인상 뒤 고용 영향’ 분석
522,독일 최저임금 도입 3년…정규직 늘고 임금격차 줄었다
523,최저임금 공포? 취업 증가폭 30만명대 회복
524,1월 고용동향 살펴보니…최저임금발 영향은 더 지켜봐야
525,최저임금 올랐지만…새해 첫 달 취업자 33만명 증가
526,입법지연·준비소홀…‘최저임금 지원대책’ 4건 중 1건 이행 안돼
527,1월 물가 상승률 1년5개월만 최저치…“최저임금 영향 아직은 미미”
528,"대한항공·조종사노조, 3년 만에 임금협상 매듭"
529,최저임금 올라도 당신 월급이 제자리였던 이유
530,한국 상·하위 10% 임금 격차 4.5배…OECD 2위
531,최저임금 인상 빌미…택시 사납급 ‘꼼수 인상’
532,중·동유럽 기업들의 최저임금 인상 대응법
533,“최저임금 인상 연착륙 위해 현금지원 내년에도 하겠다”
534,직접고용·임금인상…처우 개선 나서는 소비재기업들
535,골목상권 전용화폐 활성화…최저임금 부작용 보완한다
536,김동연 만난 정의선 “협력사 최저임금 어려움 없게 지원”
537,"“최저임금 산정, 물가·생계비·임금상승률 등 고려해야”"
538,"“최저임금 쇼크라니요, 정부지원금 챙겼나요?”"
539,중소기업 최저임금 인상부담을 대기업과 분담
540,기아차 2017 임금협상 잠정합의…기본급 5만8천원 인상
541,최근 가격 올린 외식업체 6곳 “최저임금 탓 아니다”
542,‘최저임금 핑계 가격인상’ 현장점검 나선다
543,최저임금 때문에 망한다?…유통 체감경기 4분기째 상승세
544,정부 “최저임금 인상 편승 가격인상 차단…외식업 원가분석”
545,최저임금 인상 ‘역효과 뻥튀기’…보수는 여론몰이중
546,"최저임금 12.3% 올랐던 2007년, 고용 줄어들다 석달뒤 회복"
547,"대한항공·조종사 노조, 3년 만에 임금협상 잠정 합의"
548,"한국지엠 노사, 임금협상 잠정합의안 매듭"
549,"중소 납품업체 최저임금 인상 부담, 백화점·대형마트가 분담"
550,경제·고용훈풍에도 물가·임금은 무풍…21세기 경제 ‘퍼즐’
551,정부 “이달중 최저임금 인상관련 소상공인 추가 지원책 발표”
552,"한국경제연구원 ""최저임금 인상에 일자리 47만개 감소"""
553,"한경연 ""최저임금 인상에 2021년까지 일자리 47만6천개 감소"""
554,하후상박 연대임금 전략 J노믹스에 담기나
555,늘어난 고용비용 실업난 부추겨…임금·근로정책 부작용 적지않아 [김현주의 일상 톡톡]
556,2019년 최저임금 10.9% 인상 땐 일자리 최대 51만개 감소할 듯
557,정규직 앞지른 비정규직 증가 폭 …저임금 고용 증가
558,편의점 심야 할증 할까…최저임금 無대책에 투쟁 예고
559,"편의점주들 ""정부·본사 최저임금 인상 대책 없으면 투쟁"""
560,질적 측면 개선?…임금근로자 3분의 1이 비정규직
561,올해 정규직 임금 인상분 15만8000원 vs 비정규직 7만5000원 2.1배 차이
562,최저임금 인상·정규직화 힘썼는데…취약계층 근로여건 뒷걸음
563,"""최저임금 인상, 자동화 쉬운 업종 여성 일자리 줄여"""
564,최저임금 탓에 자영업자 감소? 고용원 있는 자영업자는 오히려 증가
565,"최저임금·금리 인상 이중고…""자영업자 리스크 대비해야"""
566,"김동연 ""아이디어 차원에서 최저임금 지역별 차별화 내부 검토 중"""
567,"서울시, 2018년 최저임금 보다 높은 생활임금…시급 1만원 시대"
568,대한상의 ‘최저임금 3단계 결정방안’ 건의
569,"""최저임금서 주휴시간 제외해야"" 들고일어난 경제단체들"
570,“최저임금법 개정 땐 소상공인 부담 가중”
571,"한경연 ""최저임금법 시행령 개정 반대…현행 유지해야"""
572,"김동연 ""최저임금, 고용부진 영향…인상 속도조절 협의"""
573,"김동연 ""최저임금 인상 속도조절 방안 당·청과 협의"""
574,"김동연 ""최저임금 인상 속도조절 방안 당·청과 협의"""
575,임금은 늘었지만…상용직·임시직 격차는 더 커졌다
576,내년에 공무원 3만6천명 충원…임금인상률 1.8%
577,시급 계산시간 수 논란…최저임금 진통 계속
578,"[김현주의 일상 톡톡] 최저임금 차등화 불발…소상공인 ""내년까지 버틸 수 있을지"""
579,최저임금 방어 실탄 늘리고 경영비용 부담 덜어주기
580,"소상공인연합회, 광화문 최저임금 제도개선 촉구 국민대회 추진하겠다"
581,"고용쇼크, 최저임금 인상과 연관있나 없나…""주요 원인"" vs ""큰 관련 없어"""
582,[일상톡톡 플러스] 최저임금 급격한 인상…살림살이 좀 나아지셨습니까?
583,최저임금 역습… 자영업자들도 거리로 나왔다
584,근로자 상·하위 10% 임금격차 4.3배
585,"4대 은행, 직원 줄이고 임금인상·복리후생 ‘잔치’"
586,"""탈세해서 임금 주라는 말이냐"" 소상공인 부글"
587,최저임금 업종별·지역별 차등화 불씨 살아날까?
588,"유가·임금·임대료 상승에 폭염까지…""물가 불안해질수도"""
589,"홍종학 장관-외식업 소상공인 간담회…""최저임금 보전할 것"""
590,‘최저임금 반발’ 개정안 입법·거리투쟁 돌입
591,경영계 ‘최저임금 인상’ 반발에 달래기 나선 정부
592,최저임금 부담에… 기업 83% “불황 체감”
593,2019년 최저임금 재심의 없다…경제단체·소상공인들 즉각 반발
594,"각계 최저임금 유감…소상공인, 29일 광화문 국민대회"""
595,"김영주 ""최저임금 의결에 하자 없어…연착륙에 집중"""
596,"경총 ""최저임금 그대로 확정…기업 감당하기 어려울 것"""
597,"최저임금 시간당 8350원 확정, 재심의 없다"
598,"소상공인연합회, 최저임금 고시 집행정지 신청"
599,"홍종학 ""소상공인 최저임금인상 비용 보전 방안 마련할 것"""
600,"경총, 최저임금 이의제기 보충의견 제출…재심의 압박"
601,중소기업들 ‘2019년도 최저임금 불복종’ 확산
602,"개성공단 기업들 ""저임금 찾아 베트남에 공장 설립"""
603,“최저임금 불복” 소상공인 생존권 운동연대 출범
604,"조달청, 중소기업 조달계약에 최저임금제 고려"
605,홍종학 “소상공인 최저임금 부담 반드시 덜어드릴 것”
606,불복종 운동·이의 제기…최저임금 전방위 저항
607,‘최저임금 속도조절론’ 정부내 파장
608,소상공인 최저임금 반발 전방위 확산
609,"""자영업자·소상인 10명 중 7명 최저임금 감당 못해"""
610,남성 환영 여성 외면…임금·고용 격차 OECD 최하위권
611,"[최저임금 늪에 빠진 자영업자-상] 소상공인 ""아프니까 사장이라고요?"""
612,"[최저임금 늪에 빠진 자영업자-하] 정부, 영세상인 부담 덜어줄 수 있을까?"
613,"현대차 노사, 임금 협상 잠정 합의"
614,"최저임금 시간당 8350원 고시, 30일 이내 이의 제기 가능"
615,내년 최저임금 8천350원 고시…사용자측 이의제기할 듯
616,2019년 최저임금 8천350원 고시…30일까지 이의제기 가능
617,"경비아저씨 줄어든다…최저임금인상, 고령층일자리 타격 우려"
618,"“최저임금, 소상공인에 부담 사실”… 산업부 장관, 인상 속도조절 시사"
619,박용만 “최저임금 인한 한계기업 증가 우려… 규제 혁파해야 고용창출의 길 열려”
620,"‘저임금 근로자’ 女비중, 남성 2배… 음식숙박·도소매업 종사자 많아"
621,"홍일표 ""최저임금인상 어려움 공감, 소상공인 현안해결 노력"""
622,"박용만 회장 ""최저임금 인상…감내하기 어려운 분들 상당히 늘 것"""
623,"중소기업중앙회 ""최저임금 업종·규모별 차등적용에 총력"""
624,최저임금 업종별 차등적용 왜 못하나
625,"""최저임금 인상 편의점본부도 힘들다""…산업부·업계 간담회"
626,"김동연 만난 소상공인 ""힘든 데 최저임금 인상이 뺨 때린 격"""
627,"김동연 만난 소상공인 ""힘든 데 최저임금 인상이 뺨 때린 격"""
628,"박원순 ""최저임금 논란 갑의 침묵…대기업들 강건너 불구경"""
629,"첫 직장서 150만원 못 받는 청년 줄었다…""최저임금 영향"""
630,소상공인들 “최저임금 차등화” 촉구…홍종학 “문정부는 소상공인 정부”
631,"편향성 논란 해마다 되풀이…""최저임금위 구성 틀 바꿔야"""
632,“18년간 4배 뛴 최저임금…중소기업 노동생산성의 2배”
633,현 최저임금 증가 속도는 과속?
634,금리도 최저임금도 오르기만…자영업자 대출 연체율 상승세
635,"""최저임금 18년새 4배 올라…中企노동생산성 증가의 2.2배"""
636,금리 상승에 최저임금까지…자영업자 대출 발등의 불
637,최저임금 7% 이상 오르면 납품 단가 인상 요청 가능
638,최저임금 후폭풍 달래기 나선 정부…입장차만 확인
639,"편의점 점주들, 정부에 최저임금 차등 적용 요구"
640,"김동연 ""최저임금 인상, 하반기 경제운용에 부담 우려"""
641,"김동연·이주열 석달만에 회동…""최저임금 영향 등 논의"""
642,최저임금 후폭풍… 소득주도성장 새길 찾나
643,"편의점업계, 최저임금 인상에 반발… ""월 1회 동맹휴업 추진"""
644,내년도 최저임금 10.9% 인상…경영계 즉각 반발
645,"민주노총 ""최저임금 3년내 1만원 공약폐기 선언"" 반발"
646,내년도 최저임금 올해보다 10.9% 인상…소상공인들 강력 반발
647,최저임금 8350원 후폭풍…집단행동 나선 고용주들
648,"소상공인 ""최저임금 수용 불가…동맹휴업 추진"""
649,"2019년 최저임금, 10.9% 오른 8350원… 월 174만원"
650,데드라인에 선 최저임금…사용자위원 빠진채 조율
651,"""가게 접고 차라리 알바 하는 게 나아… 최저임금 인상 땐 동맹휴업 나설 것"""
652,최저임금 결정 늦어지자 을들의 갈등 심화 우려
653,사측 빠진 최저임금위원회… ‘기울어진 운동장’
654,"""최저임금 불복…나를 잡아가라"" 성난 소상공인들"
655,"소상공인들 ""최저임금위 논의 인정 못해…불이행"""
656,"김동연 ""일부 고용부진에 최저임금 인상 영향 있다""며 최저임금 속도조절 강조"
657,"최저임금 사용자위원 ""더 논의 의미 없다…회의 불참"""
658,"경제단체 ""내년 최저임금 결정 업종별 차등 적용해야"""
659,"경영계 ""최저임금 사업별 구분적용돼야…합리적 결정"""
660,勞 “1만790원” 使 “동결”…내년도 최저임금 신경전
661,"최저임금위원회 사용자위원들 ""최저임금제, 사업별 구분적용 필요"""
662,"임금협상 결렬 현대차 노조, 파업찬반 투표 시작"
663,OECD “최저임금제 따른 경쟁력 약화 대비해야”
664,“최저임금 인상땐 女 일자리 감소 가능성 커”
665,"[일상톡톡 플러스] 최저임금 급격한 인상, 노동비용 높아져…고용주 채용기피 심화"
666,[김현주의 일상 톡톡] 최저임금 논란 후폭풍 여전…현장 목소리 반영돼야
667,최저임금 올랐지만… 식당·술집 임시직 월급은 감소
668,"[일상톡톡 플러스] ""최저임금 인상? 건물주 임대료 갑질부터 단속했어야"""
669,"전단 알바도 귀하다…""최저임금 못 받는 청소년도"""
670,52시간 근무제로 근로자 평균 임금 0.5% 감소 추정
671,"김동연, 최저임금 논란 속 오전 휴가…국무회의 불참"
672,"김동연, 최저임금 ""누가 옳다 따질게 아니라 좋은방향 마련해야"""
673,"이상헌 ILO 고용정책국장 ""KDI 최저임금 보고서 부정확"""
674,“최저임금 속도 조절 필요”국책연구기관의 경고음
675,[김현주의 일상 톡톡] 최저임금법 개정안=최저임금 삭감법이라고?
676,‘최저임금법 개정안’ 반대 46%·찬성 39%
677,"이목희, 최저임금 속도조절론 정면비판…""그런말 할 때 아니다"""
678,"기본급, 상여금, 성과급…임금제도 너~무 복잡하죠?"
679,최저임금법 반발 울산 현대차 노조 2시간 부분파업
680,[김현주의 일상 톡톡] 포괄임금제 폐지 시동…저녁 있는 삶 현실화할까?
681,서울대 금융경제硏 “최저임금 인상으로 고용증가율·창출률 줄고 고용소멸률은 증가”
682,포괄임금제 폐지 위메프의 첫발…제기된 의문 그리고 답변
683,"“최저임금 신축적 인상”…김동연, 속도조절 시사"
684,김동연 “최저임금 인상 신축적으로”…사실상 ‘속도조절’
685,"최저임금도, 경기진단도… 김동연의 잇단 소신발언"
686,최저임금 인상 후폭풍?… 제조업마저 고용쇼크
687,임금 46억원 체납하고도 나 몰라라 오렌지팩토리 대표에 처벌 요구 국민청원
688,"[일상톡톡 플러스] 근로시간 단축, 임금 상승 가로막을까?"
689,"벌써부터 내년 최저임금 두고 의견 분분? 중소기업 48% ""올리지 말아야"""
690,"""중소기업 74% 최저임금 인상으로 버겁다"""
691,"[일상톡톡 플러스] ""정말 최저임금이 올라 물가가 치솟은걸까?"""
692,"재계 ""최저임금 산입범위 확대 필요…주휴수당도 고려해야"""
693,동반성장위 “임금격차 해소 추진 원년” 선언…실효성이 관건
694,"김동연 ""2∼3월 고용부진, 최저임금 인상 영향으로 보기 어렵다"""
695,최저임금·건설경기發 ‘고용쇼크’ 현실화
696,"상위 1% 1년 총임금, 하위 30%와 맞먹어"
697,외식도 영화도…최저임금發 물가상승 전방위 확산
698,"당정, 中企납품가 현실화…""공공조달 최저임금인상 반영 앞당겨"""
699,"대기업 70% “최저임금 인상, 전체임금 인상에 영향”"
700,"알바 고용주 54% ""올해 최저임금 인상으로 채용 줄였다"""
701,"엥글 GM 사장 ""4월 20일까지 임금협상· 정부 지원 안되면 부도"" 최후통첩"
702,"편의점, 최저임금 인상 ‘직격탄’… 폐업 속출"
703,"이주열 ""작년 실질임금 증가율 0.8%…6년 만에 최저"""
704,임금격차 줄여 중소기업 취업 유도…또 혈세로 땜질
705,석달째 임금체불·희망도 안 보이는 금호타이어 가족들
706,GM·최저임금 등 후폭풍…고용절벽 부딪힌 일자리정부
707,"소상공인 단체들 ""최저임금 부담 가중 카드수수료 인하를"""
708,"""카드사, 수수료 인하로 최저임금 인상 분담해 상생해야"""
709,[김현주의 일상 톡톡] 최저임금 산입범위 논란…제2 최저임금 폭탄 터지나?
710,2월 외식물가 2.8% 상승… 최저임금 인상 여파?
711,1~2월 전국 알바 구인 공고 4.2% 감소…최저임금 영향?
712,"[김현주의 일상 톡톡] 韓, 日보다 44일 더 일하지만 실질임금 82.8% 수준"
713,한 달 말미 얻은 금호타이어… 임금·복지 등 합의 과제
714,"중기·영세상인들 ""최저임금 인상도 버거운데… 한숨"""
715,열정페이 강요하던 영화산업…최저임금 영향받을까
716,"경총 ""올해 임금 인상 2% 이내 권고"""
717,"홍종학 ""최저임금 인상 부작용 막는 상생바람 확산되고 있다"""
718,"[김현주의 일상 톡톡] 韓 자동차산업, 임금수준 높은데 생산성 글쎄"
719,임금→사업·금융소득…소득 불평등 주범 바뀌었다
720,"""추가적·급격한 최저임금 인상땐 타격""…IMF의 경고"
721,최저임금 인상 한 달…후폭풍은 없었다
722,"최저임금 인상 첫달, 후폭풍 없었다…정부 ""더 지켜보겠다"""
723,"[韓 실업률 역주행-상] 최저임금 인상, 실업률 악화 가속화?"
724,"한국노총, 정규직 9.2%· 비정규직 20.4% 임금인상 요구키로"
