,제목
361,‘월급 190만원’ 넘는 청소·경비직도 일자리자금 지원
362,"2016년 전자업종 일자리는 줄고, 자동차업종은 늘었다"
363,설 연휴 전에 ‘일자리 안정자금’ 지원 요건 완화안 나온다
364,일자리안정자금 ‘236만명 신청’ 정부 추산은 장밋빛?
365,‘월급 190만원’ 넘는 경비직도 ‘일자리자금’ 지원받게 될까?
366,문 대통령 “청년 일자리 직접 챙기겠다”
367,"한국경제연구원 ""최저임금 인상에 일자리 47만개 감소"""
368,"한경연 ""최저임금 인상에 2021년까지 일자리 47만6천개 감소"""
369,2기 경제팀 출범…경기·일자리 상황 나아질까? [김현주의 일상 톡톡]
370,일자리 연계형 공동주택 4만가구 공급
371,2019년 최저임금 10.9% 인상 땐 일자리 최대 51만개 감소할 듯
372,"제 밥그릇 챙기는 현대차노조 ""광주형일자리 저지"""
373,“소득주도성장 중요 조건은 일자리 안정”
374,‘광주형 일자리’ 반쪽 합의… 현대차 노조 반대 넘을까
375,김동연 “일자리 단기간 해결 안 될 것”
376,"김동연 ""한국경제 어렵다…일자리 단기간에 해결 안 될 것"""
377,"""최저임금 인상, 자동화 쉬운 업종 여성 일자리 줄여"""
378,급조한 단기일자리로 고용절벽 넘을 수 있을까? [김현주의 일상 톡톡]
379,정부내서 조차 설익은 규제혁신·일자리 대책 비판론
380,저성장 깊은 터널 진입한 한국경제…일자리정책 백약이 무효 [김현주의 일상 톡톡]
381,"고용·투자 부진에 응급 처방… 野 ""가짜 일자리"" 지적"
382,공공일자리 단기 알바 수준…유류세 인하도 효과 미지수
383,고용한파 맞서 단기 공공일자리 5만9천개 만든다
384,청년인턴 등 단기 공공일자리 5만9천개 만든다
385,기업투자로 일자리 만든다…조기착공 2.3조+αㆍ금융지원 15조
386,일자리정책 비효율 겨눈 경제부처 국감자료 눈길
387,"쪼그라드는 투자, 늘지않는 일자리… 경제 앞날 캄캄"
388,"단기 공공일자리 공방…""통계용"" vs ""경력에 도움"""
389,"기재부 ""일자리·소득분배에 집중…유류세 인하 검토"""
390,추석효과 고용률 소폭 개선…일자리 구조적 문제는 여전 [김현주의 일상 톡톡]
391,“北고속도 건설 일자리 130만개 창출”
392,북한 고속도로 건설 시 일자리 130만개 창출 가능
393,"고용지표 반등에 당청 ""우려보단 개선"" 야 ""반짝 일자리 증가"""
394,"김동연 ""일자리 창출, 틀에 얽매이지 않고 지원"""
395,"김동연 ""일자리 어려움 지속 예상…가용 정책수단 총동원"""
396,5대 신산업 규제 풀어 일자리 10만개 창출
397,민간 투자 프로젝트 2022년까지 10만7천개 일자리 만든다
398,청년실업률 10% 시대…이제 수도권 일자리도 줄었다 [김현주의 일상 톡톡]
399,성인 60% “일자리 정책 실효성 없다”
400,일자리 참사는 인구구조 탓?…통계청 발표 논란
401,“우리 경제 혁신성장·일자리 창출 주도할 것”
402,창업·일자리창출 기업에 금융지원 활발
403,“2020년까지 해외 일자리 2700개 창출”
404,도시형 태양광 발전 확산… 청정에너지·일자리 만든다
405,"청년실업률 치솟고, 40대는 타격 집중…일자리 악몽"
406,"""연내 일자리 더 만든다…지자체 추경 42조9천억 집행"""
407,"김동연, 지자체장에 ""지역일자리사업 적극 돕겠다"" 서한"
408,"소득주도성장, 혁신성장, 공정경제…당장 내 일자리는? [김현주의 일상 톡톡]"
409,청년 장병 2명중 1명 “제대후 일자리 고민”
410,"김동연 경제부총리 ""체감경기 매우 나쁘다""…일자리 총력전에 집중"
411,[일자리 내자리는 어디에-상] 일자리예산 늘렸지만 공공에 집중…효과 있을까?
412,[일자리 내자리는 어디에-중] 세금 주도 일자리 창출? 민간고용 살아나야 실효
413,"[일자리 내자리는 어디에-하] ""민간 질 좋은 일자리 창출 선순환 필요"""
414,일자리 안정자금 2조8200억 … 1500억 감소
415,470조 초슈퍼 예산…핵심은 일자리·소득 재분배
416,정부 곳간 열어 투자·고용 촉진한다…일자리예산 효과가 관건
417,나랏돈 풀어 마중물 전략…일자리예산 효과 있을까
418,2년차 일자리안정자금 40% 줄인다…지원액 13만원은 유지
419,지방교부세 6.7조 증가한 52조7천억…지역일자리 집중투자
420,생활 SOC 예산 8조7000억…일자리·삶의 질 다 잡을까?
421,"김동연 ""정부 예산, 일자리 만드는 데 기여했다"""
422,[뉴스 인사이드] 알바 대신 기계 점원·셀프계산대… 취약계층 일자리 타격
423,[김현주의 일상 톡톡] 내년도 일자리 예산 최대 22조…땜질식 처방 통할까?
424,세금으로 일자리 늘리기…역대 최고 수준으로 돈 푼다
425,[김현주의 일상 톡톡] 일자리 정부라 쓰고 최악의 실업난이라 읽는다
426,[김현주의 일상 톡톡] 고용 대참사 40대 일자리 15만개 증발…일자리정책 자체를 바꿔야
427,2019년 일자리 예산 사상최대 22조 육박
428,가스공사 “2025년까지 10조 투자·일자리 9만개 창출”
429,일자리 못 만드는 한국…외환위기 이후 최장 대량실업
430,"김동연 ""내년 예산안 일자리 창출에 초점…국민참여예산 2배로"""
431,"한국생산성본부, 청년 일자리 창출 및 4차 산업혁명 핵심 기술 활성화 기여"
432,"이재용 ""삼성만의 기술개발·가치창출로 일자리 만들겠다"""
433,"하반기 일자리, 조선·자동차 흐림…반도체·금융은 맑음"
434,"김동연 ""내년도 SOC 예산 추가감축 재검토…일자리 문제 고려"""
435,부자 증세 → 서민 감세 기조…일자리 빠진 개편안
436,"한은 ""하반기 고용 완만히 개선…단기 일자리 창출 나서야"""
437,[희망기업 특집] ‘숨은 보석’ 우량 벤처 키워 일자리 창출
438,일자리안정자금 예산 점진적 축소 전망
439,5개월 연속 고용 쇼크…일자리 정책은 어디로
440,"경비아저씨 줄어든다…최저임금인상, 고령층일자리 타격 우려"
441,"""210만원 받고 누가 식당일 하느냐""…일자리안정자금 실효성 논란"
442,“근로시간 단축 땐 3년 내 일자리 최대 33만개 감소”
443,"""또 정부 재정으로 보전하나""…일자리안정자금 비판론"
444,무역전쟁·일자리쇼크…한은 기준금리 연 1.50% 동결
445,일자리 쇼크 5개월째…6월 취업자도 10만6천명 증가 그쳐
446,5개월째 일자리 쇼크…6월 취업자 10만6천명↑ 그쳐
447,20대 줄고·50대 늘고… 일자리 세대 간 양극화 심화
448,"농협축산경제, 양질의 일자리 창출을 위해 앞장서겠다!"
449,"민주당 기업탐방…""일자리, 기업투자로 만드는 것이 주가 돼야"""
450,[일상톡톡 플러스] 일자리 없는 청년층…기댈곳 없는 노년층
451,"에프앤디넷, 2018 대한민국 일자리 100대 으뜸기업 선정"
452,"bhc치킨, 일자리 창출에 팔을 걷어붙였다"
453,[김현주의 일상 톡톡] 길 잃은 취업의 길…정부재정으로 일자리 창출?
454,"한경연 ""일자리 손실"" VS 정부 ""과다 추정""…누가 맞나"
455,"""직접투자 해외유출 심화… 일자리 손실 年 12만명"""
456,직접투자 유출로 연간 일자리 12만5000개 사라졌다
457,한국능률협회 주관‘2018 전국 지방자치단체 일자리 대상’ 성황리 마쳐
458,"중기부, 일자리 추경 맞춰 창업 지원 드라이브"
459,“일자리 만드는 중소기업인이 애국자”
460,"3040 일자리도 뚝… ""32만 목표 달성 힘들 듯"""
461,일자리 쇼크 후폭풍… 혁신성장 속도낼까
462,취약계층 일자리 사업…10억 자산가까지 참여
463,“최저임금 인상땐 女 일자리 감소 가능성 커”
464,‘일자리 세제지원’ 청년나이 34세 이하로
465,[김동연 경제부총리 취임 1년] 김동연號 최대 과제는 “혁신성장·일자리 창출”
466,주력산업의 위기… 일자리가 흔들린다
467,"농협-㈜에네스티, 일자리 창출과 지역경제 활성화 MOU"
468,[김현주의 일상 톡톡] 고용쇼크 현실화…일자리가 메마르고 있다
469,[팩트인뉴스] 靑 “사실 일자리는 계속 늘고 있다”…절반만 사실
470,청년일자리 추경 3.8조 풀린다…산단 청년교통비 깎고 SOC 늘려
471,[만성적인 취업난-하] 질 좋은 일자리 누가 어떻게 만들어야?
472,文정부1년 바뀐 점은? 대국민 이야기 공모…일자리 관련이 최다
473,미래차·드론으로 혁신성장 이륙…2022년 일자리 30만개 만든다
474,논의도 못 한 추경…청년 일자리·고용 위기지역 어쩌나
475,제조업 상용 일자리 3분기 연속 감소세
476,"김동연 ""일자리 문제, 제일 많이 신경쓰여…해결에 노력"""
477,"김동연 ""일자리 정책 퍼주기 아냐…장단기 투트랙으로 접근"""
478,"한국GM 비정규직 ""묻지마 혈세 지원 대신 일자리 보장이 우선"""
479,文정부1년…사람중심경제 초석 놨지만 일자리 미흡
480,[일자리 빈 자리-상] 기승전·공공부문…1020대 대기업도 외면한다
481,"[일자리 빈 자리-하] 고용창출력 높은 산업 육성…단기 처방, 중장기적 대책 병행해야"
482,고용없는 성장 심화… 일자리도 진화가 필요하다
483,정규직 일자리도 강남 불패?…채용공고 10건중 1건이 강남구서
484,[일상톡톡 플러스] 양질의 일자리 적고 미래는 불투명…가계 돈 벌어도 안 쓴다
485,"감리제도 바꿨을 뿐인데…""정보통신공사서 1천명 일자리 창출"""
486,일자리안정자금 신청률 ‘세종시 1위’
487,"“산업별 규제완화, 일자리 창출 크게 기여”"
488,[일상톡톡 플러스] 지하철 승강장 매점·자판기 철거 예정…취약계층 일자리는?
489,군산 등 6곳 고용위기지역…일자리 추경 3조9000억원 의결
490,두번째 일자리 추경…청년실업·지역경제 효과 주목
491,"中企 65% “청년 일자리 대책, 고용절벽 해소에 도움”"
492,9조규모 공사·용역 발주… 13만명 일자리 창출
493,“5년내 민간 관광 일자리 1만5000개”
494,시니어 사업 통해 어르신 일자리 만들어
495,[일상톡톡 플러스] 근로시간 줄어들면 일자리도 늘어날까?
496,[일상톡톡 플러스] 서민 일자리 고용쇼크…취업시장 봄은 언제?
497,버닝아웃·수명단축…기재부의 청년일자리대책 수립 뒷담화
498,"정부, 청년일자리 위해 4조 규모 미니추경 추진"
499,GM·최저임금 등 후폭풍…고용절벽 부딪힌 일자리정부
500,"김동연 ""일자리 만드는 것은 결국 기업"""
501,3월 중 2조원 규모 재정증권 발행…일자리 예산 지원
502,GM사태·강추위에 얼어붙은 일자리…힘 받는 추경
503,김동연 부총리 “청년 일자리 문제 해결위해 예산·세제등 모든 수단 동원”
504,"김동연 ""청년일자리대책에 전역 사병 문제 담는다"""
505,"김동연 ""청년 일자리 대책에 군 전역 사병 대책 담을 것"""
506,"김동연 ""청년일자리 문제 해결 위해 추경·세제개편 배제 안해"""
507,"농협, 청년실업 해결을 위한 미래농업 일자리 발굴"
508,"국세청장 ""일자리 창출기업 세무조사 제외…중기 조사 최소화"""
509,文정부 특단의 청년일자리대책 15일발표…보조금·세제 직접지원
510,일자리안정자금 신청 늘어…이달초까지 100만명 넘어
511,"김동연 ""청년 일자리 연계 직접 보조금·세제지원"""
512,손경식 “노사정 대화·일자리 창출에 매진”
513,일자리프레임 갇힌 정부…기업 구조조정 나 몰라라
514,[일자리 추경 검토-상] 최대 20조 슈퍼 추경설 모락모락…변수는?
515,[일자리 추경 검토-하] 세금으로 일자리 창출? 일자리 막는 걸림돌부터 제거해야
516,[사회공헌 특집] 청년 사회적 기업가 육성… 일자리 창출 ‘온힘’
517,"[일상톡톡 플러스] 내수 침체, 고용 회복 기대난…일자리 침체 장기화하나?"
518,"한국GM發 실업대란 염두?…""일자리 추경 배제 안해"""
519,김동연 “청년일자리 창출 위해 추경 검토”
520,2017년 수출로 일자리 447만개 창출…올해 전망은?
521,"청년일자리 ‘보릿고개’ 2월, 올해는 무사히 넘길까"
522,"한국노인인력개발원, 공공기관 상생 협력으로 지역 일자리 창출 앞장서"
523,노인일자리 2022년까지 80만개로 확대…양질 일자리 제공
524,성장률 제고·일자리 창출 ‘두 토끼잡기’
525,[일상톡톡 플러스] 일자리는 기업이 만들어야 vs 세금으로 일자리 창출할 수 밖에
526,일자리안정자금 기준 210만원으로
527,월급 190만원 넘는 경비 등도 일자리안정자금 지원…210만원까지
528,월급 190만원 넘는 경비 등도 일자리안정자금 지원
529,청년 일자리 창출에 나랏돈 더 푼다
530,일자리 안정자금 급여기준 완화 추진
531,"홍종학 ""일자리 안정자금 지원 기준 월 190만→210만원 검토"""
532,"홍종학 ""일자리 안정자금 지원 기준 월 190만→210만원 검토"""
533,"김동연 ""해외 일자리는 청년실업 대책 큰 줄기 중 하나"""
534,"소상공인 54% ""일자리 안정자금 신청하겠다""…""4대보험은 부담"""
535,"농협, 청년일자리 창출을 위해 신규직원 370명 채용"
536,“일자리 안정자금은 고육책… 최저임금 반드시 연착륙 시킬 것”
537,"일자리 안정자금 보완책, 설 전에 나온다"
538,"김동연 ""일자리 안정자금, 고육지책…최저임금 연착륙시킬 것"""
539,"유영민 장관 ""중소·중견기업, R&D 일자리 늘려달라"""
540,"김동연 ""일자리 안정자금 올해만 지원하고 중단할 수 없어"""
541,[김현주의 일상 톡톡] 고금리·원고·고유가 3중고…일자리 현장 살리는 대책 있을까?
542,작년에만 173만 명 “그냥 쉬었다”…일자리 봄날 언제쯤
543,월 최대 13만원 일자리안정자금이 4대보험 유인책 될 수 있을까?
544,최저임금 해결사라는 일자리안정자금…소상공인에겐 그림의 떡
545,KB금융 사회공헌활동 강화…일자리창출·창업지원 팔 걷어
546,"정부, 일자리 등 80대 핵심재정사업 집중관리…평가에 국민참여"
547,중소기업이 일자리 29만개 늘릴 때 대기업은 4만개 줄였다
548,[일상톡톡 플러스] 월 200만원 미만 일자리 수두룩…그럼에도 청년 선택지는 공무원 준비?
549,"""최저임금 연착륙 위해 일자리 안정자금 최우선 추진"""
550,[4차 산업혁명 파고-산업계 무인화 가속] 인간의 일터 잠식하는 AI … ‘일자리 디스토피아’ 공포
